"run"	"Année"	"baseline"	"scen"	"ssp"	"recup"	"Bonifié"	"mgmt.unit"	"Superficie"	"Volume"	"Area cut"	"Vol cut"	"min_area"	"min_vol"
1	2070	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	291	5711978	288	5821067	272	4811238
1	2070	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	289	5596127	292	5810734	269	4735058
1	2070	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	288	5613530	286	5730566	271	4792409
1	2075	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	292	5874870	290	5801572	272	4811238
1	2075	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	291	5863033	292	5894935	269	4735058
1	2075	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	289	5833893	288	5649265	271	4792409
1	2080	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	293	5907234	290	5923580	272	4811238
1	2080	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	292	5962686	292	5807472	269	4735058
1	2080	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	289	5812014	288	5814204	271	4792409
1	2085	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	294	6175469	292	6499764	272	4811238
1	2085	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	292	6115330	292	6113748	269	4735058
1	2085	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	290	5922244	290	6105451	271	4792409
1	2090	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	295	6068217	294	6023522	272	4811238
1	2090	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	292	6017986	294	6137612	269	4735058
1	2090	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	290	6006552	290	6101053	271	4792409
1	2095	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	294	5937780	294	5837480	272	4811238
1	2095	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	292	6110941	296	5921304	269	4735058
1	2095	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	291	5867596	292	5749712	271	4792409
1	2100	"1"	"SSP2-4.5 - recup70%"	"SSP2-4.5"	"70%"	"recup70%"	"11161"	294	5853358	292	5877070	272	4811238
1	2100	"1"	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"70%"	"recup70%"	"11161"	291	5780211	292	5946004	269	4735058
1	2100	"1"	"climat stable - recup70%"	"climat stable"	"70%"	"recup70%"	"11161"	291	5785735	290	5601807	271	4792409
1	2025	"0"	"SSP2-4.5 - reference"	"SSP2-4.5"	"20%"	"reference"	"11161"	264	4596358	264	4596358	238	4186868
1	2025	"0"	"SSP3-7.0 - reference"	"SSP3-7.0"	"20%"	"reference"	"11161"	268	4801934	268	4801934	264	4619352
1	2025	"0"	"climat stable - reference"	"climat stable"	"20%"	"reference"	"11161"	268	4770629	268	4770629	264	4727607
