"mgmt.unit"	"Année"	"scen"	"bonif"	"ssp"	"area.acc"	"area.CT"	"area.salv"	"area.total"	"area.acc.mean"	"area.CT.mean"	"area.salv.mean"	"area.total.mean"
"11161"	2080	"climat stable - reboisement"	"reboisement"	"climat stable"	0	126	0.4	126	0	125.6	0.533333333333333	125.6
"11161"	2080	"climat stable - recup70%"	"recup70%"	"climat stable"	0.4	44.4	2.4	44.8	0.133333333333333	44.4	0.8	44.5333333333333
"11161"	2080	"climat stable - reference"	"reference"	"climat stable"	0	42.4	0	42.4	0.133333333333333	42.6666666666667	0.266666666666667	42.8
"11161"	2080	"climat stable - reserve"	"reserve"	"climat stable"	0	43.6	0.4	43.6	0.133333333333333	43.6	0.4	43.7333333333333
"11161"	2080	"climat stable - sans feu"	"sans feu"	"climat stable"	0	44	0	44	0	44	0	44
"11161"	2085	"SSP2-4.5 - reboisement"	"reboisement"	"SSP2-4.5"	0	132	0	132	0	132	0.133333333333333	132
"11161"	2085	"SSP2-4.5 - recup70%"	"recup70%"	"SSP2-4.5"	0	43.6	0.8	43.6	0	43.3333333333333	0.266666666666667	43.3333333333333
"11161"	2085	"SSP2-4.5 - reference"	"reference"	"SSP2-4.5"	0	43.2	0	43.2	0	43.6	0	43.6
"11161"	2085	"SSP2-4.5 - reserve"	"reserve"	"SSP2-4.5"	0	43.6	0	43.6	0	43.3333333333333	0.133333333333333	43.3333333333333
"11161"	2085	"SSP2-4.5 - sans feu"	"sans feu"	"SSP2-4.5"	0	44.8	0	44.8	0	44.4	0	44.4
"11161"	2085	"SSP3-7.0 - reboisement"	"reboisement"	"SSP3-7.0"	0	125.6	0.8	125.6	0	125.333333333333	0.533333333333333	125.333333333333
"11161"	2085	"SSP3-7.0 - recup70%"	"recup70%"	"SSP3-7.0 "	0	42.4	0.4	42.4	0	43.0666666666667	0.933333333333333	43.0666666666667
"11161"	2085	"SSP3-7.0 - reference"	"reference"	"SSP3-7.0 "	0	43.6	0	43.6	0	43.4666666666667	0	43.4666666666667
"11161"	2085	"SSP3-7.0 - reserve"	"reserve"	"SSP3-7.0"	0.4	41.6	0.4	42	0.133333333333333	41.8666666666667	0.266666666666667	42
