"mgmt.unit"	"Année"	"scen"	"Historique"	"brfuel"	"Climat"	"Climat&Végétation"
"11161"	2080	"SSP2-4.5 - reboisement"	0.00742	0.00721	0.00849	0.00829
"11161"	2080	"SSP2-4.5 - recup70%"	0.00742	0.00702	0.00849	0.00808
"11161"	2080	"SSP2-4.5 - reference"	0.00742	0.00712	0.00849	0.00819
"11161"	2080	"SSP2-4.5 - reserve"	0.00742	0.00711	0.00849	0.00817
"11161"	2080	"SSP2-4.5 - sans coupe"	0.00742	0.00831	0.00849	0.00956
"11161"	2080	"SSP2-4.5 - sans feu"	0.00742	0.00745	0.00849	0.00859
"11161"	2080	"SSP2-4.5 - sans pert"	0.00742	0.00902	0.00849	0.01037
"11161"	2080	"SSP3-7.0 - reboisement"	0.00742	0.00706	0.01096	0.01043
"11161"	2080	"SSP3-7.0 - recup70%"	0.00742	0.00694	0.01096	0.01027
"11161"	2080	"SSP3-7.0 - reference"	0.00742	0.00707	0.01096	0.01047
"11161"	2080	"SSP3-7.0 - reserve"	0.00742	0.00701	0.01096	0.01037
"11161"	2080	"SSP3-7.0 - sans coupe"	0.00742	0.00834	0.01096	0.01233
"11161"	2080	"SSP3-7.0 - sans feu"	0.00742	0.00744	0.01096	0.01101
"11161"	2080	"SSP3-7.0 - sans pert"	0.00742	0.00898	0.01096	0.01326
"11161"	2080	"climat stable - reboisement"	0.00742	0.00719	0.00742	0.00719
"11161"	2080	"climat stable - recup70%"	0.00742	0.00727	0.00742	0.00727
"11161"	2080	"climat stable - reference"	0.00742	0.00721	0.00742	0.00721
"11161"	2080	"climat stable - reserve"	0.00742	0.00725	0.00742	0.00725
"11161"	2080	"climat stable - sans coupe"	0.00742	0.00892	0.00742	0.00892
"11161"	2080	"climat stable - sans feu"	0.00742	0.00758	0.00742	0.00758
"11161"	2080	"climat stable - sans pert"	0.00742	0.00931	0.00742	0.00931
"11161"	2085	"SSP2-4.5 - reboisement"	0.00742	0.00707	0.00849	0.00813
"11161"	2085	"SSP2-4.5 - recup70%"	0.00742	0.00687	0.00849	0.0079
"11161"	2085	"SSP2-4.5 - reference"	0.00742	0.00693	0.00849	0.00797
"11161"	2085	"SSP2-4.5 - reserve"	0.00742	0.00691	0.00849	0.00792
"11161"	2085	"SSP2-4.5 - sans coupe"	0.00742	0.0081	0.00849	0.00932
"11161"	2085	"SSP2-4.5 - sans feu"	0.00742	0.00732	0.00849	0.0084
"11161"	2085	"SSP2-4.5 - sans pert"	0.00742	0.00879	0.00849	0.0101
"11161"	2085	"SSP3-7.0 - reboisement"	0.00742	0.00687	0.01096	0.01018
"11161"	2085	"SSP3-7.0 - recup70%"	0.00742	0.0068	0.01096	0.01005
"11161"	2085	"SSP3-7.0 - reference"	0.00742	0.00692	0.01096	0.01022
"11161"	2085	"SSP3-7.0 - reserve"	0.00742	0.00679	0.01096	0.01003
