"mgmt.unit"	"Année"	"scen"	"ssp"	"bonif"	"spp"	"area"	"Proportion"
"11161"	2030	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Feuillus tolérants"	578	0.085
"11161"	2030	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Résineux"	4094.4	0.605
"11161"	2030	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Feuillus intolérants"	997.6	0.147
"11161"	2030	"SSP2-4.5 - reference"	"SSP2-4.5"	"reference"	"Plantations résineuses"	1102	0.163
"11161"	2030	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Feuillus tolérants"	582.4	0.086
"11161"	2030	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Résineux"	4092	0.604
"11161"	2030	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Feuillus intolérants"	995.2	0.147
"11161"	2030	"SSP2-4.5 - reserve"	"SSP2-4.5"	"reserve"	"Plantations résineuses"	1102.4	0.163
"11161"	2030	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Feuillus tolérants"	554.4	0.082
"11161"	2030	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Résineux"	4248	0.627
"11161"	2030	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Feuillus intolérants"	960.8	0.142
"11161"	2030	"SSP2-4.5 - sans coupe"	"SSP2-4.5"	"sans coupe"	"Plantations résineuses"	1008.8	0.149
"11161"	2030	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Feuillus tolérants"	575.6	0.085
"11161"	2030	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Résineux"	4123.6	0.609
"11161"	2030	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Feuillus intolérants"	965.6	0.143
"11161"	2030	"SSP2-4.5 - sans feu"	"SSP2-4.5"	"sans feu"	"Plantations résineuses"	1107.2	0.163
"11161"	2030	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Feuillus tolérants"	550.4	0.081
"11161"	2030	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Résineux"	4268.8	0.63
"11161"	2030	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Feuillus intolérants"	932.8	0.138
"11161"	2030	"SSP2-4.5 - sans pert"	"SSP2-4.5"	"sans pert"	"Plantations résineuses"	1020	0.151
"11161"	2030	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Feuillus tolérants"	572.8	0.085
"11161"	2030	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Résineux"	3975.2	0.587
"11161"	2030	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Feuillus intolérants"	960	0.142
"11161"	2030	"SSP3-7.0 - reboisement"	"SSP3-7.0"	"reboisement"	"Plantations résineuses"	1264	0.187
"11161"	2030	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Feuillus tolérants"	587.6	0.087
"11161"	2030	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Résineux"	4076.4	0.602
"11161"	2030	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Feuillus intolérants"	1010	0.149
"11161"	2030	"SSP3-7.0 - recup70%"	"SSP3-7.0"	"recup70%"	"Plantations résineuses"	1098	0.162
"11161"	2030	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Feuillus tolérants"	585.6	0.086
"11161"	2030	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Résineux"	4066	0.6
"11161"	2030	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Feuillus intolérants"	1029.6	0.152
"11161"	2030	"SSP3-7.0 - reference"	"SSP3-7.0"	"reference"	"Plantations résineuses"	1090.8	0.161
"11161"	2030	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Feuillus tolérants"	584.8	0.086
"11161"	2030	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Résineux"	4071.2	0.601
"11161"	2030	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Feuillus intolérants"	1019.6	0.151
"11161"	2030	"SSP3-7.0 - reserve"	"SSP3-7.0"	"reserve"	"Plantations résineuses"	1096.4	0.162
"11161"	2030	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Feuillus tolérants"	560.8	0.083
"11161"	2030	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Résineux"	4233.6	0.625
"11161"	2030	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Feuillus intolérants"	965.6	0.143
"11161"	2030	"SSP3-7.0 - sans coupe"	"SSP3-7.0"	"sans coupe"	"Plantations résineuses"	1012	0.149
"11161"	2030	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Feuillus tolérants"	583.6	0.086
"11161"	2030	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Résineux"	4098.4	0.605
"11161"	2030	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Feuillus intolérants"	983.2	0.145
"11161"	2030	"SSP3-7.0 - sans feu"	"SSP3-7.0"	"sans feu"	"Plantations résineuses"	1106.8	0.163
"11161"	2030	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Feuillus tolérants"	552	0.082
"11161"	2030	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Résineux"	4268	0.63
"11161"	2030	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Feuillus intolérants"	932	0.138
"11161"	2030	"SSP3-7.0 - sans pert"	"SSP3-7.0"	"sans pert"	"Plantations résineuses"	1020	0.151
"11161"	2030	"climat stable - reboisement"	"climat stable"	"reboisement"	"Feuillus tolérants"	563.6	0.083
"11161"	2030	"climat stable - reboisement"	"climat stable"	"reboisement"	"Résineux"	4004	0.591
"11161"	2030	"climat stable - reboisement"	"climat stable"	"reboisement"	"Feuillus intolérants"	945.6	0.14
"11161"	2030	"climat stable - reboisement"	"climat stable"	"reboisement"	"Plantations résineuses"	1258.8	0.186
"11161"	2030	"climat stable - recup70%"	"climat stable"	"recup70%"	"Feuillus tolérants"	578.4	0.085
"11161"	2030	"climat stable - recup70%"	"climat stable"	"recup70%"	"Résineux"	4107.2	0.606
"11161"	2030	"climat stable - recup70%"	"climat stable"	"recup70%"	"Feuillus intolérants"	990.4	0.146
"11161"	2030	"climat stable - recup70%"	"climat stable"	"recup70%"	"Plantations résineuses"	1096	0.162
"11161"	2030	"climat stable - reference"	"climat stable"	"reference"	"Feuillus tolérants"	578.4	0.085
"11161"	2030	"climat stable - reference"	"climat stable"	"reference"	"Résineux"	4122.4	0.609
"11161"	2030	"climat stable - reference"	"climat stable"	"reference"	"Feuillus intolérants"	976.4	0.144
"11161"	2030	"climat stable - reference"	"climat stable"	"reference"	"Plantations résineuses"	1094.8	0.162
"11161"	2030	"climat stable - reserve"	"climat stable"	"reserve"	"Feuillus tolérants"	574.4	0.085
